target,processed
4,"['@', 'stellargirl', 'loooooooovvvvvvee', 'kindle2', '.', 'dx', 'cool', ',', '2', 'fantast', 'right', '.']"
4,"['read', 'kindle2', '...', 'love', '...', 'lee', 'child', 'good', 'read', '.']"
4,"['ok', ',', 'first', 'ass', '#', 'kindle2', '...', 'fuck', 'rock', '!', '!', '!']"
4,"['@', 'kenburbari', ""'ll"", 'love', 'kindle2', '.', ""'ve"", 'mine', 'month', 'never', 'look', 'back', '.', 'new', 'big', 'one', 'huge', '!', 'need', 'remors', '!', ':', ')']"
4,"['@', 'mikefish', 'fair', 'enough', '.', 'kindle2', 'think', ""'s"", 'perfect', ':', ')']"
4,"['@', 'richardebak', '.', 'big', '.', ""'m"", 'quit', 'happi', 'kindle2', '.']"
0,"['fuck', 'economi', '.', 'hate', 'aig', 'non', 'loan', 'given', 'as', '.']"
4,"['jqueri', 'new', 'best', 'friend', '.']"
4,"['love', 'twitter']"
4,"['love', 'obama', '?', 'make', 'joke', '.']"
2,"['check', 'video', '--', 'presid', 'obama', 'white', 'hous', 'correspond', ""'"", 'dinner', 'http', ':', '//bit.ly/imxum']"
0,"['@', 'karoli', 'firmli', 'believ', 'obama/pelosi', 'zero', 'desir', 'civil', '.', ""'s"", 'charad', 'slogan', ',', 'want', 'destroy', 'conservat']"
4,"['hous', 'correspond', 'dinner', 'last', 'night', 'whoopi', ',', 'barbara', '&', 'amp', ';', 'sherri', 'went', ',', 'obama', 'got', 'stand', 'ovat']"
4,"['watchin', 'espn', '..', 'ju', 'seen', 'new', 'nike', 'commer', 'puppet', 'lebron', '..', 'sh', '*', 'hilari', '...', 'lmao', '!', '!', '!']"
0,"['dear', 'nike', ',', 'stop', 'flywir', '.', 'shit', 'wast', 'scienc', '.', 'ugli', '.', 'love', ',', '@', 'vincentx24x']"
4,"['#', 'lebron', 'best', 'athlet', 'gener', ',', 'time', '(', 'basketbal', 'relat', ')', ""n't"", 'want', 'get', 'inter-sport', 'debat', '__1/2']"
0,"['talk', 'guy', 'last', 'night', 'tell', 'die', 'hard', 'spur', 'fan', '.', 'also', 'told', 'hate', 'lebron', 'jame', '.']"
4,"['love', 'lebron', '.', 'http', ':', '//bit.ly/pdhur']"
0,"['@', 'ludajuic', 'lebron', 'beast', ',', ""'m"", 'still', 'cheer', '4', '..', 'til', 'end', '.']"
4,"['@', 'pmillzz', 'lebron', 'bos']"
4,"['@', 'sketchbug', 'lebron', 'hometown', 'hero', ',', 'lol', 'love', 'laker', 'let', ""'s"", 'go', 'cav', ',', 'lol']"
4,"['lebron', 'zydruna', 'awesom', 'duo']"
4,"['@', 'wordwhizkid', 'lebron', 'beast', '...', 'nobodi', 'nba', 'come', 'even', 'close', '.']"
4,"['download', 'app', 'iphon', '!', 'much', 'fun', ':', '-', ')', 'liter', 'app', 'anyth', '.']"
4,"['good', 'news', ',', 'call', 'visa', 'offic', ',', 'say', 'everyth', 'fine', '.....', 'relief', '!', 'sick', 'scam', '!', 'steal', '!']"
4,"['http', ':', '//twurl.nl/epkr4b', '-', 'awesom', 'come', 'back', '@', 'biz', '(', 'via', '@', 'fredwilson', ')']"
4,"['montreal', 'long', 'weekend', 'r', '&', 'amp', ';', 'r.', 'much', 'need', '.']"
4,"['booz', 'allen', 'hamilton', 'bad', 'as', 'homegrown', 'social', 'collabor', 'platform', '.', 'way', 'cool', '!', '#', 'ttiv']"
4,"['[', '#', 'mluc09', ']', 'custom', 'innov', 'award', 'winner', ':', 'booz', 'allen', 'hamilton', '--', 'http', ':', '//ping.fm/c2hpp']"
4,"['@', 'sochi2', 'current', 'use', 'nikon', 'd90', 'love', ',', 'much', 'canon', '40d/50d', '.', 'chose', 'd90', 'video', 'featur', '.', 'mistak', '.']"
